"var","var2","yhat","yhat_scale","cluster","var_name_x","var_name_y","yhat_scale_2"
"160","5 Landkommune",92,0.379373952450999,0.0208692051221097,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.828068228907008
"161","1 Hovedstadskommune",93,0.371937109334098,0.013432362005209,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.532982073376005
"162","2 Storbykommune",93,0.370893937077713,0.012389189748824,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.4915900894583
"163","3 Provinsbykommune",93,0.371020496900687,0.0125157495717983,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.496611850845374
"164","4 Oplandskommune",93,0.380667554533339,0.0221628072044502,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.879397006355232
"165","5 Landkommune",93,0.379373952450999,0.0208692051221097,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.828068228907008
"166","1 Hovedstadskommune",94,0.371937109334098,0.013432362005209,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.532982073376005
"167","2 Storbykommune",94,0.370893937077713,0.012389189748824,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.4915900894583
"168","3 Provinsbykommune",94,0.371020496900687,0.0125157495717983,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.496611850845374
"169","4 Oplandskommune",94,0.380667554533339,0.0221628072044502,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.879397006355232
"170","5 Landkommune",94,0.379373952450999,0.0208692051221097,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.828068228907008
"171","1 Hovedstadskommune",95,0.371937109334098,0.013432362005209,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.532982073376005
"172","2 Storbykommune",95,0.370893937077713,0.012389189748824,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.4915900894583
"173","3 Provinsbykommune",95,0.371020496900687,0.0125157495717983,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.496611850845374
"174","4 Oplandskommune",95,0.380667554533339,0.0221628072044502,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.879397006355232
"175","5 Landkommune",95,0.379373952450999,0.0208692051221097,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.828068228907008
"176","1 Hovedstadskommune",96,0.371937109334098,0.013432362005209,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.532982073376005
